@id	@lat	@lon
57579493	53.2748661	-6.3310028
60228528	53.2896427	-6.3394836
60228529	53.2895494	-6.3396262
60228530	53.2895595	-6.3397452
60228533	53.2893548	-6.3353885
98025405	53.2795370	-6.3314380
98025407	53.2809681	-6.3310265
98025416	53.2852234	-6.3303897
98025473	53.2752257	-6.3445426
98025474	53.2749355	-6.3444128
98025475	53.2747533	-6.3443456
98025477	53.2745173	-6.3442970
98025579	53.2745013	-6.3390251
98025582	53.2749260	-6.3392186
98025584	53.2752507	-6.3393673
98025586	53.2756697	-6.3395589
98025593	53.2754554	-6.3446375
98025610	53.2758624	-6.3397548
98025622	53.2755260	-6.3430215
98025642	53.2756791	-6.3413490
103116427	53.2755960	-6.3542169
103117091	53.2798387	-6.3457561
103117097	53.2806429	-6.3446033
103117104	53.2813389	-6.3428003
103117110	53.2819573	-6.3417315
103117116	53.2828492	-6.3410524
103117117	53.2834863	-6.3402774
211451880	53.2881882	-6.3389480
211451889	53.2882100	-6.3390358
211451986	53.2882470	-6.3391079
211451992	53.2882954	-6.3391570
211451997	53.2883504	-6.3391786
211452002	53.2884068	-6.3391707
211452005	53.2884595	-6.3391333
211452541	53.2885026	-6.3390702
211452547	53.2885321	-6.3389860
211452553	53.2885439	-6.3388905
211452558	53.2885398	-6.3388116
211452641	53.2884962	-6.3386726
211452654	53.2884598	-6.3386221
211452661	53.2884169	-6.3385890
211452665	53.2883232	-6.3385833
211452671	53.2882705	-6.3386189
211452762	53.2882271	-6.3386801
211452772	53.2881972	-6.3387609
211452776	53.2881837	-6.3388533
211452785	53.2886587	-6.3390986
243881314	53.2891366	-6.3354745
243881317	53.2862190	-6.3486670
243881319	53.2860175	-6.3471264
243881322	53.2860829	-6.3460593
243881324	53.2863193	-6.3448138
243881325	53.2865749	-6.3436827
243881326	53.2867713	-6.3427356
243881327	53.2871647	-6.3408097
243881328	53.2862490	-6.3405088
243881329	53.2860952	-6.3407156
243881331	53.2853817	-6.3417253
243881332	53.2844842	-6.3435947
243881333	53.2841619	-6.3445850
243881334	53.2833152	-6.3464376
243881409	53.2807708	-6.3547372
243881410	53.2810423	-6.3532613
243881411	53.2811120	-6.3528918
243881412	53.2812752	-6.3519546
243881413	53.2813696	-6.3513482
243881414	53.2814193	-6.3510448
243881415	53.2815939	-6.3499405
243881416	53.2818139	-6.3491862
243881418	53.2819465	-6.3488734
243881419	53.2820952	-6.3486137
243882193	53.2870488	-6.3542489
243882194	53.2870166	-6.3529345
243882196	53.2869596	-6.3521270
243882198	53.2867972	-6.3521036
243882199	53.2868796	-6.3536336
243882238	53.2882359	-6.3552149
243882242	53.2885814	-6.3528923
244065172	53.2758256	-6.3397840
244065173	53.2758916	-6.3397072
244065174	53.2757383	-6.3394000
244065175	53.2759098	-6.3396463
244065176	53.2757772	-6.3393809
244065178	53.2756711	-6.3396263
244065179	53.2752214	-6.3446080
244065180	53.2753548	-6.3447930
244065181	53.2754569	-6.3445702
244065182	53.2753078	-6.3444059
244065793	53.2817397	-6.3400456
244065794	53.2815494	-6.3398140
244065795	53.2811294	-6.3396321
244065796	53.2808800	-6.3396494
244065797	53.2805783	-6.3398214
244065799	53.2796567	-6.3407359
244065800	53.2793199	-6.3411639
244065801	53.2777223	-6.3424670
244065802	53.2775506	-6.3424600
244065803	53.2773146	-6.3424171
244065804	53.2770682	-6.3423656
244065805	53.2768490	-6.3422772
244065806	53.2764737	-6.3420171
244065807	53.2778306	-6.3474257
244065808	53.2775333	-6.3479278
244065809	53.2778386	-6.3468578
244065810	53.2776435	-6.3466270
244065811	53.2774056	-6.3463723
244065812	53.2771342	-6.3460908
244065813	53.2769629	-6.3459106
244065814	53.2768106	-6.3457355
244065815	53.2767106	-6.3456240
244065816	53.2765916	-6.3454171
244065817	53.2764917	-6.3451862
244065818	53.2764060	-6.3449076
244065819	53.2763394	-6.3445972
244065820	53.2762823	-6.3442788
244065821	53.2762537	-6.3439922
244065822	53.2762442	-6.3437216
244065823	53.2762632	-6.3434429
244065824	53.2763013	-6.3431325
244065825	53.2765408	-6.3414735
244065826	53.2766498	-6.3407574
244065827	53.2767662	-6.3398801
244065830	53.2769518	-6.3387050
244065831	53.2770247	-6.3384429
